date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:47:39	19809/19809	---MCZ	200	added ('OK')	application/javascript	etag:W/%2267f398e6-4d61%22	https://static.tildacdn.com/js/tilda-lazyload-1.0.min.js	C:/ddddd/awdawd/static.tildacdn.com/js/tilda-lazyload-1.0.min.js	(from https://www.zavod-red-flag.ru/)
21:47:39	34334/34334	---MCZ	200	added ('OK')	application/javascript	etag:W/%226769451c-861e%22	https://static.tildacdn.com/js/tilda-animation-2.0.min.js	C:/ddddd/awdawd/static.tildacdn.com/js/tilda-animation-2.0.min.js	(from https://www.zavod-red-flag.ru/)
21:47:39	77825/77825	---MCZ	200	added ('OK')	application/javascript	etag:W/%2267f4d516-13001%22	https://static.tildacdn.com/js/tilda-forms-1.0.min.js	C:/ddddd/awdawd/static.tildacdn.com/js/tilda-forms-1.0.min.js	(from https://www.zavod-red-flag.ru/)
21:47:40	15289/15289	---MCZ	200	added ('OK')	application/javascript	etag:W/%226801fcdb-3bb9%22	https://static.tildacdn.com/js/tilda-cover-1.0.min.js	C:/ddddd/awdawd/static.tildacdn.com/js/tilda-cover-1.0.min.js	(from https://www.zavod-red-flag.ru/)
21:47:40	20726/20726	---MCZ	200	added ('OK')	application/javascript	etag:W/%22605342c5-50f6%22	https://static.tildacdn.com/js/hammer.min.js	C:/ddddd/awdawd/static.tildacdn.com/js/hammer.min.js	(from https://www.zavod-red-flag.ru/)
21:47:40	37634/37634	---MCZ	200	added ('OK')	application/javascript	etag:W/%2267f4f64c-9302%22	https://static.tildacdn.com/js/tilda-slds-1.4.min.js	C:/ddddd/awdawd/static.tildacdn.com/js/tilda-slds-1.4.min.js	(from https://www.zavod-red-flag.ru/)
21:47:40	4142/4142	---MCZ	200	added ('OK')	application/javascript	etag:W/%2266f16bdf-102e%22	https://static.tildacdn.com/js/tilda-products-1.0.min.js	C:/ddddd/awdawd/static.tildacdn.com/js/tilda-products-1.0.min.js	(from https://www.zavod-red-flag.ru/)
21:47:41	162212/162212	---MCZ	200	added ('OK')	application/javascript	etag:W/%2267ebea93-279a4%22	https://static.tildacdn.com/js/tilda-catalog-1.1.min.js	C:/ddddd/awdawd/static.tildacdn.com/js/tilda-catalog-1.1.min.js	(from https://www.zavod-red-flag.ru/)
21:47:41	18410/18410	---MCZ	200	added ('OK')	application/javascript	etag:W/%226615426e-47ea%22	https://static.tildacdn.com/js/tilda-t862-popupstepform-1.0.min.js	C:/ddddd/awdawd/static.tildacdn.com/js/tilda-t862-popupstepform-1.0.min.js	(from https://www.zavod-red-flag.ru/)
21:47:41	3281/3281	---MCZ	200	added ('OK')	application/javascript	etag:W/%2267fe6841-cd1%22	https://static.tildacdn.com/js/tilda-popup-1.0.min.js	C:/ddddd/awdawd/static.tildacdn.com/js/tilda-popup-1.0.min.js	(from https://www.zavod-red-flag.ru/)
21:47:41	2163/2163	---MCZ	200	added ('OK')	application/javascript	etag:W/%2266e03673-873%22	https://static.tildacdn.com/js/tilda-cards-1.0.min.js	C:/ddddd/awdawd/static.tildacdn.com/js/tilda-cards-1.0.min.js	(from https://www.zavod-red-flag.ru/)
